OTU	C1cDNA	C1DNA	C2cDNA	C2DNA	C3cDNA	C3DNA	C4cDNA	C4DNA	C5cDNA	C5DNA	C6cDNA	C6DNA	C7cDNA	C7DNA	C8cDNA	C8DNA	D1cDNA	D1DNA	D2cDNA	D2DNA	D3cDNA	D3DNA	D4cDNA	D4DNA	D5cDNA	D5DNA	D6cDNA	D6DNA	D7cDNA	D7DNA	D8cDNA	D8DNA	N1cDNA	N1DNA	N2cDNA	N2DNA	N3cDNA	N3DNA	N4cDNA	N4DNA	N5cDNA	N5DNA	N6cDNA	N6DNA	N7cDNA	N7DNA	N8cDNA	N8DNA	taxonomy
OTU_dn_6861	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__; g__; s__
OTU_dn_2174	3.0	11.0	1.0	1.0	0.0	8.0	5.0	14.0	2.0	6.0	0.0	1.0	0.0	13.0	6.0	16.0	1.0	15.0	0.0	0.0	0.0	14.0	0.0	4.0	4.0	8.0	0.0	0.0	0.0	1.0	0.0	11.0	0.0	10.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	2.0	0.0	7.0	1.0	9.0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__CFB-26; f__; g__; s__
1618938	2.0	0.0	4.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	3.0	1.0	1.0	0.0	4.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__SM1D11; f__; g__; s__
518302	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Amaricoccus; s__
OTU_dn_848	1.0	4.0	2.0	1.0	1.0	0.0	8.0	3.0	0.0	2.0	6.0	6.0	1.0	1.0	6.0	5.0	2.0	3.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	8.0	1.0	2.0	2.0	3.0	0.0	1.0	1.0	6.0	0.0	2.0	1.0	k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__
931708	2.0	2.0	1.0	10.0	0.0	9.0	11.0	15.0	9.0	8.0	0.0	7.0	4.0	19.0	6.0	3.0	6.0	15.0	2.0	2.0	2.0	12.0	3.0	4.0	0.0	10.0	5.0	4.0	8.0	14.0	1.0	24.0	0.0	8.0	0.0	4.0	4.0	2.0	3.0	3.0	2.0	11.0	5.0	5.0	2.0	1.0	0.0	2.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__211ds20; g__; s__
4465539	1.0	1.0	3.0	1.0	2.0	0.0	3.0	0.0	8.0	0.0	4.0	3.0	6.0	6.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	8.0	21.0	7.0	2.0	2.0	0.0	0.0	4.0	4.0	3.0	4.0	11.0	7.0	3.0	10.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Promicromonosporaceae; g__Promicromonospora; s__
250989	6.0	0.0	2.0	0.0	1.0	3.0	3.0	1.0	1.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	17.0	2.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Pilimelia; s__
537674	1.0	4.0	1.0	3.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	2.0	0.0	2.0	2.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
172675	1.0	4.0	2.0	0.0	0.0	3.0	7.0	35.0	6.0	4.0	1.0	6.0	5.0	9.0	0.0	10.0	0.0	8.0	3.0	1.0	0.0	2.0	18.0	1.0	2.0	5.0	0.0	10.0	0.0	5.0	8.0	25.0	0.0	7.0	1.0	1.0	0.0	6.0	2.0	13.0	1.0	5.0	3.0	5.0	0.0	0.0	5.0	9.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__Pirellula; s__
252853	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	1.0	1.0	2.0	8.0	0.0	3.0	4.0	2.0	0.0	5.0	0.0	0.0	0.0	1.0	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__
OTU_dn_2328	5.0	0.0	2.0	2.0	18.0	1.0	3.0	1.0	5.0	0.0	16.0	3.0	12.0	12.0	0.0	17.0	12.0	2.0	16.0	3.0	16.0	4.0	11.0	7.0	8.0	3.0	9.0	1.0	17.0	2.0	22.0	11.0	5.0	8.0	11.0	2.0	4.0	0.0	1.0	3.0	7.0	3.0	12.0	1.0	3.0	3.0	8.0	4.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
OTU_dn_4715	4.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	6.0	2.0	4.0	1.0	4.0	1.0	16.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	2.0	0.0	1.0	3.0	1.0	0.0	4.0	1.0	2.0	2.0	1.0	0.0	0.0	2.0	1.0	0.0	k__Bacteria; p__Chloroflexi; c__TK17; o__mle1-48; f__; g__; s__
OTU_dn_1320	4.0	0.0	2.0	1.0	0.0	7.0	2.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Cyanobacteria; c__ML635J-21; o__; f__; g__; s__
1108685	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__0319-6A21; g__; s__
804798	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__
237613	3.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	3.0	3.0	0.0	5.0	1.0	0.0	0.0	1.0	2.0	4.0	5.0	2.0	0.0	2.0	2.0	7.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	8.0	6.0	1.0	1.0	4.0	0.0	11.0	2.0	2.0	2.0	1.0	1.0	0.0	0.0	6.0	2.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii
OTU_dn_1073	2.0	0.0	1.0	21.0	0.0	1.0	0.0	6.0	1.0	4.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	3.0	2.0	1.0	0.0	0.0	3.0	5.0	0.0	0.0	1.0	7.0	1.0	1.0	k__Bacteria; p__Gemmatimonadetes; c__Gemm-3; o__; f__; g__; s__
OTU_dn_3329	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
1029858	4.0	12.0	2.0	23.0	0.0	6.0	1.0	4.0	1.0	9.0	3.0	3.0	3.0	6.0	3.0	1.0	2.0	23.0	1.0	24.0	2.0	20.0	0.0	9.0	1.0	7.0	0.0	11.0	0.0	15.0	0.0	10.0	3.0	7.0	1.0	7.0	0.0	8.0	2.0	22.0	0.0	13.0	0.0	22.0	0.0	4.0	1.0	11.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__
463861	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__
4352293	1.0	8.0	0.0	18.0	0.0	9.0	1.0	10.0	3.0	11.0	0.0	2.0	0.0	13.0	0.0	12.0	3.0	2.0	0.0	0.0	1.0	14.0	3.0	0.0	1.0	6.0	3.0	7.0	0.0	4.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	8.0	k__Bacteria; p__Gemmatimonadetes; c__Gemm-5; o__; f__; g__; s__
OTU_dn_1036	1.0	0.0	3.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	3.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	4.0	1.0	1.0	2.0	3.0	0.0	0.0	0.0	k__Bacteria; p__Cyanobacteria; c__ML635J-21; o__; f__; g__; s__
208595	3.0	13.0	2.0	8.0	5.0	13.0	4.0	12.0	2.0	21.0	2.0	5.0	5.0	39.0	3.0	39.0	3.0	22.0	5.0	8.0	10.0	6.0	4.0	16.0	9.0	9.0	14.0	0.0	3.0	29.0	4.0	3.0	1.0	11.0	0.0	14.0	0.0	17.0	0.0	13.0	1.0	9.0	2.0	6.0	1.0	8.0	1.0	8.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__
729865	3.0	3.0	5.0	0.0	7.0	0.0	18.0	0.0	1.0	0.0	6.0	0.0	3.0	2.0	3.0	3.0	11.0	2.0	6.0	14.0	8.0	2.0	10.0	19.0	3.0	5.0	4.0	2.0	21.0	0.0	7.0	0.0	19.0	0.0	2.0	0.0	16.0	0.0	27.0	7.0	1.0	3.0	5.0	1.0	3.0	1.0	13.0	0.0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__
790420	1.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	5.0	2.0	0.0	1.0	3.0	0.0	3.0	0.0	2.0	2.0	6.0	2.0	0.0	3.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__AKIW874; g__; s__
OTU_dn_1170	2.0	8.0	1.0	3.0	0.0	6.0	0.0	5.0	0.0	3.0	0.0	1.0	1.0	4.0	1.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	6.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__CFB-26; f__; g__; s__
OTU_dn_4139	1.0	2.0	1.0	0.0	8.0	0.0	7.0	0.0	9.0	1.0	9.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	3.0	0.0	21.0	3.0	7.0	2.0	3.0	6.0	23.0	5.0	4.0	1.0	15.0	0.0	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__
OTU_dn_1558	4.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__
218620	3.0	9.0	3.0	0.0	1.0	5.0	1.0	4.0	1.0	4.0	2.0	2.0	3.0	4.0	0.0	8.0	3.0	3.0	7.0	0.0	2.0	3.0	7.0	7.0	12.0	2.0	6.0	39.0	16.0	4.0	0.0	16.0	0.0	31.0	3.0	1.0	3.0	3.0	3.0	8.0	5.0	10.0	2.0	3.0	0.0	1.0	1.0	125.0	k__Bacteria; p__Gemmatimonadetes; c__Gemm-3; o__; f__; g__; s__
OTU_dn_1319	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__
974121	2.0	2.0	0.0	0.0	106.0	45.0	40.0	86.0	10.0	6.0	89.0	22.0	2.0	5.0	3.0	0.0	3.0	7.0	0.0	3.0	1.0	7.0	5.0	62.0	14.0	540.0	14.0	4.0	5.0	1.0	6.0	37.0	3.0	0.0	9.0	16.0	3.0	163.0	3.0	210.0	384.0	226.0	69.0	1.0	26.0	10.0	1.0	5.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
570862	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Nannocystaceae; g__Plesiocystis; s__
OTU_dn_1813	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__
583489	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__
571484	2.0	3.0	0.0	0.0	5.0	10.0	3.0	21.0	1.0	3.0	2.0	44.0	0.0	3.0	1.0	1.0	7.0	11.0	3.0	1.0	6.0	0.0	4.0	3.0	8.0	29.0	7.0	2.0	2.0	7.0	7.0	7.0	1.0	0.0	3.0	7.0	0.0	59.0	5.0	42.0	16.0	57.0	2.0	2.0	4.0	18.0	1.0	13.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria
4400980	5.0	1.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	6.0	0.0	17.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Chitinophaga; s__
554552	5.0	0.0	2.0	0.0	6.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	2.0	1.0	7.0	2.0	3.0	0.0	3.0	0.0	2.0	2.0	3.0	0.0	1.0	0.0	11.0	4.0	5.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	4.0	0.0	0.0	4.0	1.0	0.0	2.0	1.0	5.0	0.0	2.0	1.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
OTU_dn_4307	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
1118654	2.0	3.0	1.0	17.0	1.0	4.0	32.0	3.0	1.0	8.0	3.0	23.0	6.0	13.0	0.0	4.0	2.0	15.0	1.0	34.0	1.0	3.0	3.0	20.0	4.0	16.0	0.0	6.0	0.0	8.0	2.0	5.0	3.0	4.0	10.0	16.0	6.0	31.0	4.0	91.0	12.0	40.0	14.0	4.0	3.0	20.0	2.0	13.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU_dn_2042	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__
253908	3.0	0.0	0.0	2.0	0.0	10.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	66.0	0.0	78.0	0.0	78.0	0.0	72.0	0.0	95.0	0.0	63.0	0.0	54.0	6.0	90.0	0.0	0.0	13.0	0.0	1.0	0.0	13.0	0.0	17.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	13.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU_dn_197	5.0	3.0	1.0	0.0	34.0	2.0	11.0	0.0	7.0	9.0	27.0	2.0	2.0	0.0	8.0	0.0	8.0	0.0	10.0	4.0	8.0	4.0	8.0	14.0	9.0	4.0	4.0	1.0	4.0	0.0	17.0	4.0	6.0	2.0	9.0	2.0	16.0	1.0	1.0	0.0	3.0	0.0	11.0	5.0	4.0	0.0	12.0	0.0	k__Bacteria; p__FBP; c__; o__; f__; g__; s__
261988	4.0	1.0	13.0	9.0	7.0	2.0	12.0	0.0	17.0	2.0	5.0	5.0	3.0	3.0	22.0	1.0	1.0	10.0	0.0	14.0	1.0	4.0	4.0	10.0	1.0	1.0	9.0	1.0	5.0	3.0	2.0	1.0	27.0	2.0	25.0	9.0	31.0	6.0	42.0	3.0	10.0	3.0	3.0	7.0	22.0	1.0	20.0	1.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Iamiaceae; g__Iamia; s__
534597	1.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
OTU_dn_935	2.0	0.0	1.0	0.0	0.0	14.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Ellin5290; f__; g__; s__
4024362	2.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	0.0	2.0	0.0	2.0	2.0	0.0	0.0	1.0	0.0	3.0	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
541741	5.0	9.0	2.0	4.0	0.0	2.0	6.0	6.0	2.0	4.0	1.0	7.0	2.0	2.0	1.0	4.0	1.0	6.0	0.0	1.0	3.0	4.0	1.0	1.0	3.0	3.0	5.0	1.0	2.0	2.0	1.0	15.0	0.0	14.0	0.0	0.0	1.0	7.0	2.0	6.0	1.0	2.0	6.0	9.0	0.0	1.0	0.0	5.0	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
OTU_dn_6848	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]
OTU_dn_612	3.0	4.0	0.0	0.0	2.0	0.0	0.0	2.0	9.0	3.0	5.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	1.0	5.0	6.0	4.0	3.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
986448	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__
4375703	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	4.0	0.0	6.0	1.0	2.0	0.0	0.0	16.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__; s__
4194148	1.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	13.0	0.0	0.0	16.0	3.0	3.0	0.0	2.0	0.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	1.0	1.0	2.0	0.0	3.0	14.0	0.0	0.0	0.0	5.0	1.0	k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__Armatimonadaceae; g__; s__
OTU_dn_6849	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Chloroflexi; c__TK10; o__AKYG885; f__5B-12; g__; s__
